group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,epsilon,1,3,5,7,10,15,20,30,50
1,S1-S8 (2s paradigm),15,0,0.2,subject,4,0.43125,160,69,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,5,0.29375,160,47,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,6,0.4,160,64,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,7,0.2,160,32,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,8,0.51875,160,83,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,summary,ALL,,8,,52.2,22.1,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,1,0.725,160,116,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,2,0.70625,160,113,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,3,0.88125,160,141,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,4,0.41875,160,67,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,5,0.3,160,48,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,6,0.43125,160,69,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,7,0.20625,160,33,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,subject,8,0.5125,160,82,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),20,0,0.2,summary,ALL,,8,,52.3,21.6,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,1,0.73125,160,117,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,2,0.675,160,108,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,3,0.8625,160,138,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,4,0.40625,160,65,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,5,0.26875,160,43,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,6,0.475,160,76,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,7,0.2,160,32,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,subject,8,0.49375,160,79,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),30,0,0.2,summary,ALL,,8,,51.4,21.4,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,1,0.51875,160,83,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,2,0.48125,160,77,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,3,0.6625,160,106,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,4,0.30625,160,49,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,5,0.1375,160,22,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,6,0.34375,160,55,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,7,0.1625,160,26,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,subject,8,0.3625,160,58,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),50,0,0.2,summary,ALL,,8,,37.2,16.7,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,9,0.225,160,36,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,10,0.34375,160,55,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,11,0.06875,160,11,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,12,0.38125,160,61,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,13,0.43125,160,69,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,14,0.23125,160,37,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,15,0.18125,160,29,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,subject,16,0.54375,160,87,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),1,0,0.2,summary,ALL,,8,,30.1,14.3,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,9,0.45,160,72,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,10,0.55,160,88,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,11,0.1125,160,18,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,12,0.65,160,104,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,13,0.58125,160,93,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,14,0.35625,160,57,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,15,0.3,160,48,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,subject,16,0.74375,160,119,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),3,0,0.2,summary,ALL,,8,,46.8,19.2,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,9,0.525,160,84,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,10,0.575,160,92,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,11,0.10625,160,17,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,12,0.7,160,112,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,13,0.56875,160,91,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,14,0.3875,160,62,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,15,0.3,160,48,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,subject,16,0.75,160,120,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),5,0,0.2,summary,ALL,,8,,48.9,20,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,9,0.4875,160,78,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,10,0.58125,160,93,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,11,0.10625,160,17,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,12,0.7,160,112,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,13,0.58125,160,93,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,14,0.39375,160,63,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,15,0.30625,160,49,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,subject,16,0.69375,160,111,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.2,summary,ALL,,8,,48.1,19.1,,,,,,,,,,,
