group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 
2,S9-S16 (2s paradigm),7,1,0.3,subject,14,0.41875,160,67,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,15,0.30625,160,49,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,16,0.7375,160,118,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,summary,ALL,,8,,48.7,19.6,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,9,0.54375,160,87,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,10,0.56875,160,91,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,11,0.13125,160,21,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,12,0.63125,160,101,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,13,0.54375,160,87,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,14,0.41875,160,67,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,15,0.31875,160,51,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,subject,16,0.725,160,116,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.4,summary,ALL,,8,,48.5,17.7,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,9,0.50625,160,81,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,10,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,12,0.6625,160,106,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,13,0.50625,160,81,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,14,0.40625,160,65,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,15,0.3125,160,50,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,subject,16,0.7125,160,114,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.5,summary,ALL,,8,,47.5,18.3,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,9,0.50625,160,81,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,10,0.5625,160,90,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,11,0.13125,160,21,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,12,0.65,160,104,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,13,0.575,160,92,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,14,0.43125,160,69,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,15,0.3,160,48,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,subject,16,0.7125,160,114,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.6,summary,ALL,,8,,48.4,17.9,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,9,0.48125,160,77,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,10,0.5875,160,94,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,12,0.65625,160,105,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,13,0.5625,160,90,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,14,0.40625,160,65,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,15,0.33125,160,53,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,subject,16,0.71875,160,115,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.7,summary,ALL,,8,,48.2,18.3,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,9,0.46875,160,75,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,10,0.56875,160,91,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,11,0.11875,160,19,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,12,0.65,160,104,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,13,0.5,160,80,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,14,0.38125,160,61,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,15,0.3125,160,50,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,subject,16,0.75,160,120,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.8,summary,ALL,,8,,46.9,18.6,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,9,0.4625,160,74,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,10,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,11,0.09375,160,15,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,12,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,13,0.5,160,80,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,14,0.375,160,60,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,15,0.3,160,48,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.9,subject,16,0.6875,160,110,,,,,,,,,,,,,,,
