group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
2,S9-S16 (2s paradigm),7,0,0.4,subject,9,0.5,160,80,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,10,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,11,0.10625,160,17,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,12,0.69375,160,111,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,13,0.59375,160,95,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,14,0.36875,160,59,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,15,0.29375,160,47,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,subject,16,0.71875,160,115,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.4,summary,ALL,,8,,48.2,19.8,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,9,0.50625,160,81,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,10,0.575,160,92,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,12,0.70625,160,113,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,13,0.56875,160,91,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,14,0.3875,160,62,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,15,0.30625,160,49,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,subject,16,0.725,160,116,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.5,summary,ALL,,8,,48.6,19.4,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,9,0.53125,160,85,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,10,0.56875,160,91,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,12,0.6625,160,106,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,13,0.575,160,92,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,14,0.36875,160,59,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,15,0.26875,160,43,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,subject,16,0.73125,160,117,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.6,summary,ALL,,8,,47.7,19.6,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,9,0.53125,160,85,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,10,0.55625,160,89,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,12,0.63125,160,101,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,13,0.575,160,92,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,14,0.36875,160,59,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,15,0.2875,160,46,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,subject,16,0.7125,160,114,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.7,summary,ALL,,8,,47.2,18.7,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,9,0.475,160,76,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,10,0.53125,160,85,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,11,0.1,160,16,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,12,0.66875,160,107,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,13,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,14,0.35625,160,57,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,15,0.29375,160,47,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,subject,16,0.69375,160,111,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.8,summary,ALL,,8,,46.2,18.9,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,9,0.3875,160,62,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,10,0.46875,160,75,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,11,0.075,160,12,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,12,0.575,160,92,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,13,0.5,160,80,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,14,0.26875,160,43,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,15,0.2875,160,46,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,subject,16,0.61875,160,99,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,0.9,summary,ALL,,8,,39.8,16.9,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,9,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,10,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,11,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,12,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,13,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,14,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,15,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,subject,16,0.025,160,4,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,0,1,summary,ALL,,8,,2.5,0,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,18,0.93125,160,149,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,19,0.7375,160,118,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,20,0.16875,160,27,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,21,0.36875,160,59,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,22,0.50625,160,81,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,23,0.75625,160,121,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,subject,24,0.475,160,76,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0,summary,ALL,,8,,51.1,26.5,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,17,0.1625,160,26,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,18,0.93125,160,149,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,19,0.725,160,116,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,20,0.1625,160,26,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,21,0.33125,160,53,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,22,0.49375,160,79,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,23,0.8375,160,134,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,subject,24,0.475,160,76,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.1,summary,ALL,,8,,51.5,27.5,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,18,0.875,160,140,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,19,0.7375,160,118,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,20,0.175,160,28,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,21,0.31875,160,51,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,22,0.475,160,76,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,23,0.8125,160,130,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,subject,24,0.49375,160,79,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.2,summary,ALL,,8,,50.4,26.5,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,17,0.15,160,24,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,18,0.9,160,144,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,19,0.7375,160,118,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,20,0.15625,160,25,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,21,0.3375,160,54,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,22,0.5125,160,82,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,23,0.8,160,128,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,subject,24,0.4375,160,70,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.3,summary,ALL,,8,,50.4,26.9,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,18,0.89375,160,143,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,19,0.7125,160,114,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,20,0.175,160,28,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,21,0.33125,160,53,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,22,0.475,160,76,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,23,0.8125,160,130,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,subject,24,0.44375,160,71,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.4,summary,ALL,,8,,49.8,26.5,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,18,0.88125,160,141,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,19,0.7125,160,114,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,20,0.1375,160,22,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,21,0.3375,160,54,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,22,0.475,160,76,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,23,0.83125,160,133,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,subject,24,0.44375,160,71,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.5,summary,ALL,,8,,49.5,27.1,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.6,subject,17,0.14375,160,23,,,,,,,,,,,,,,,
3,S17-S24 (3s paradigm),7,0,0.6,subject,18,0.8625,160,138,,,,,,,,,,,,,,,
